Lux,Temperatuur,Luchtvochtigheid,Acceptabel
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelHoog,WeinigLaag,Nee
Geen,WeinigHoog,VeelLaag,Nee
Geen,WeinigHoog,WeinigLaag,Ja
Geen,VeelHoog,WeinigLaag,Nee
Geen,VeelLaag,VeelLaag,Nee
Geen,VeelHoog,VeelLaag,Nee
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,WeinigHoog,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,WeinigHoog,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
